adjustment_window_k,hash_rate,difficulty
0,298000000000000.0,1000992.7725420968
1,298000000000000.0,1000992.7725420968
2,298000000000000.0,1000992.7725420968
3,298000000000000.0,1000992.7725420968
4,298000000000000.0,1000992.7725420968
5,298000000000000.0,1000992.7725420968
6,298000000000000.0,1000992.7725420968
7,298000000000000.0,1000992.7725420968
8,298000000000000.0,1000992.7725420968
9,298000000000000.0,1000992.7725420968
10,298000000000000.0,1000992.7725420968
11,298000000000000.0,1000992.7725420968
12,298000000000000.0,1000992.7725420968
13,298000000000000.0,1000992.7725420968
14,298000000000000.0,1000992.7725420968
15,298000000000000.0,1000992.7725420968
16,298000000000000.0,1000992.7725420968
17,298000000000000.0,1000992.7725420968
18,298000000000000.0,1000992.7725420968
19,298000000000000.0,1000992.7725420968
20,298000000000000.0,1000992.7725420968
21,298000000000000.0,1000992.7725420968
22,298000000000000.0,1000992.7725420968
23,298000000000000.0,1000992.7725420968
24,298000000000000.0,1000992.7725420968
25,298000000000000.0,1000992.7725420968
26,298000000000000.0,1000992.7725420968
27,298000000000000.0,1000992.7725420968
28,298000000000000.0,1000992.7725420968
29,298000000000000.0,1000992.7725420968
30,298000000000000.0,1000992.7725420968
31,298000000000000.0,1000992.7725420968
32,298000000000000.0,1000992.7725420968
33,298000000000000.0,1000992.7725420968
34,298000000000000.0,1000992.7725420968
35,298000000000000.0,1000992.7725420968
36,298000000000000.0,1000992.7725420968
37,298000000000000.0,1000992.7725420968
38,298000000000000.0,1000992.7725420968
39,298000000000000.0,1000992.7725420968
40,298000000000000.0,1000992.7725420968
41,298000000000000.0,1000992.7725420968
42,298000000000000.0,1000992.7725420968
43,298000000000000.0,1000992.7725420968
44,298000000000000.0,1000992.7725420968
45,298000000000000.0,1000992.7725420968
46,298000000000000.0,1000992.7725420968
47,298000000000000.0,1000992.7725420968
48,298000000000000.0,1000992.7725420968
49,298000000000000.0,1000992.7725420968
50,298000000000000.0,1000992.7725420968
51,298000000000000.0,1000992.7725420968
52,298000000000000.0,1000992.7725420968
53,298000000000000.0,1000992.7725420968
54,298000000000000.0,1000992.7725420968
55,298000000000000.0,1000992.7725420968
56,298000000000000.0,1000992.7725420968
57,298000000000000.0,1000992.7725420968
58,298000000000000.0,1000992.7725420968
59,298000000000000.0,1000992.7725420968
60,298000000000000.0,1000992.7725420968
61,298000000000000.0,1000992.7725420968
62,298000000000000.0,1000992.7725420968
63,298000000000000.0,1000992.7725420968
64,298000000000000.0,1000992.7725420968
65,298000000000000.0,1000992.7725420968
66,298000000000000.0,1000992.7725420968
67,298000000000000.0,1000992.7725420968
68,298000000000000.0,1000992.7725420968
69,298000000000000.0,1000992.7725420968
70,298000000000000.0,1000992.7725420968
71,298000000000000.0,1000992.7725420968
72,298000000000000.0,1000992.7725420968
73,298000000000000.0,1000992.7725420968
74,298000000000000.0,1000992.7725420968
75,298000000000000.0,1000992.7725420968
76,298000000000000.0,1000992.7725420968
77,298000000000000.0,1000992.7725420968
78,298000000000000.0,1000992.7725420968
79,298000000000000.0,1000992.7725420968
80,298000000000000.0,1000992.7725420968
81,298000000000000.0,1000992.7725420968
82,298000000000000.0,1000992.7725420968
83,298000000000000.0,1000992.7725420968
84,298000000000000.0,1000992.7725420968
85,298000000000000.0,1000992.7725420968
86,298000000000000.0,1000992.7725420968
87,298000000000000.0,1000992.7725420968
88,298000000000000.0,1000992.7725420968
89,298000000000000.0,1000992.7725420968
90,298000000000000.0,1000992.7725420968
91,298000000000000.0,1000992.7725420968
92,298000000000000.0,1000992.7725420968
93,298000000000000.0,1000992.7725420968
94,298000000000000.0,1000992.7725420968
95,298000000000000.0,1000992.7725420968
96,298000000000000.0,1000992.7725420968
97,298000000000000.0,1000992.7725420968
98,298000000000000.0,1000992.7725420968
99,298000000000000.0,1000992.7725420968
100,298000000000000.0,1000992.7725420968
101,298000000000000.0,1000992.7725420968
102,298000000000000.0,1000992.7725420968
103,298000000000000.0,1000992.7725420968
104,298000000000000.0,1000992.7725420968
105,298000000000000.0,1000992.7725420968
106,298000000000000.0,1000992.7725420968
